Latitude,Longitude,KY_CD
40.66423942,-73.90842501,359
40.64458962,-73.89267243,344
40.65875818,-73.94243479,578
40.72236369,-73.85147389,104
40.7934646,-73.96894964,109
40.62532,-73.91787352,341
40.60017173,-73.75666306,361
40.85104111,-73.86144132,578
40.80550435,-73.91647725,352
40.57250098,-73.99909795,351
40.8139047,-73.95309513,106
40.81573205,-73.94542041,233
40.64151592,-73.96377755,341
40.8428385,-73.93921789,341
40.64712835,-74.08818142,578
40.85462389,-73.92895183,361
40.84435181,-73.91474422,235
40.63211746,-74.03716416,109
40.7095998,-73.81497446,344
40.79760857,-73.96691791,351
40.84318541,-73.84398293,107
40.68848795,-73.97684841,578
40.76768884,-73.98215303,109
40.74499868,-73.98707441,109
40.82238058,-73.9535444,578
40.74936902,-73.99738122,341
40.86989195,-73.90178546,578
40.73265204,-73.98156344,118
40.62335772,-73.93076861,351
40.83235494,-73.85903742,112
40.71619591,-73.99749075,233
40.57188964,-74.13920275,341
40.62322682,-74.14922697,344
40.72615071,-73.73372235,578
40.85527409,-73.92847759,361
40.81290122,-73.92012028,351
40.67460182,-73.93861415,106
40.81095712,-73.92714525,109
40.86008614,-73.89362974,578
40.68214041,-73.82689109,578
40.65076912,-73.95047814,341
40.69911325,-73.9102849,341
40.67678594,-73.97216572,341
40.67949561,-74.00319938,578
40.79440086,-73.97011935,105
40.63630016,-73.89246598,341
40.5929154,-73.79515198,578
40.71920702,-73.84508123,361
40.69788849,-73.95680112,105
40.71892142,-73.99609094,109
40.71224082,-73.92902784,352
40.81698565,-73.84701407,341
40.67633991,-73.93985633,344
40.78462429,-73.95396073,121
40.66331442,-73.94799976,351
40.66365694,-73.90108707,351
40.62708166,-74.13957004,341
40.87861805,-73.86689848,578
40.73619218,-73.71359409,341
40.68768561,-73.98982592,341
40.69380792,-73.98012092,344
40.8243505,-73.94548922,341
40.75201062,-73.93071071,578
40.73686899,-73.98970655,341
40.69639299,-73.97739021,235
40.7560077,-73.88118438,341
40.66765249,-73.84754403,344
40.75293819,-73.88299813,361
40.82149466,-73.94854096,126
40.73531042,-74.0018345,341
40.69021059,-73.85728976,578
40.72902817,-73.97717348,109
40.82525875,-73.89388414,344
40.66602698,-73.89631825,235
40.82731348,-73.87887459,344
40.81636615,-73.86762631,235
40.67760528,-73.82821878,578
40.81411316,-73.94085537,126
40.74987737,-73.86272726,236
40.67278984,-73.77365162,361
40.68710223,-73.82459216,106
